Validation,Normalization,Model,Threshold,Consecutive_Hits,Early_Tol_Frac,Late_Tol_Frac,Base_T_tol_early_Frac,Base_T_tol_late_Frac,Base_T_far_early_Frac,Base_T_far_late_Frac,Score,MAE,Mean_Delta,Missed_Alerts,Tol_Early_Rate,Tol_Late_Rate,Far_Early_Rate,Far_Late_Rate
Hold-out,MinMax,Gradient Boosting,0.7,2,0.1,0.12,0.12,0.08,0.06,0.03,201.35871735833632,9.50625,-8.38125,0,31.2%,25.0%,43.8%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.7,2,0.1,0.08,0.12,0.08,0.06,0.03,201.35871735833632,9.50625,-8.38125,0,31.2%,25.0%,43.8%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.7,2,0.1,0.12,0.12,0.08,0.06,0.03,201.35871735833632,9.50625,-8.38125,0,31.2%,25.0%,43.8%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.7,2,0.08,0.08,0.12,0.08,0.06,0.03,204.0260836820857,9.50625,-8.38125,0,25.0%,25.0%,50.0%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,2,0.08,0.1,0.12,0.08,0.06,0.03,204.0260836820857,9.50625,-8.38125,0,25.0%,25.0%,50.0%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,2,0.08,0.08,0.12,0.08,0.06,0.03,204.0260836820857,9.50625,-8.38125,0,25.0%,25.0%,50.0%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.7,2,0.08,0.12,0.12,0.08,0.06,0.03,204.0260836820857,9.50625,-8.38125,0,25.0%,25.0%,50.0%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.7,2,0.08,0.1,0.12,0.08,0.06,0.03,204.0260836820857,9.50625,-8.38125,0,25.0%,25.0%,50.0%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,2,0.08,0.12,0.12,0.08,0.06,0.03,204.0260836820857,9.50625,-8.38125,0,25.0%,25.0%,50.0%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,2,0.06,0.1,0.12,0.08,0.06,0.03,205.12842877241542,9.50625,-8.38125,0,18.8%,25.0%,56.2%,0.0%
